  638972080.06200 00478    -5436    -1709   -20180    -3325     -367   -18458   796112   796213   795827   795261   795597   795265   724699   724699   801651   796748       26     -214     -124     -479     -260     -125      -45      -45     4746     -116   638972082.44400       34       15        1    15595    24831        0
  638972094.70400 00478    -5439    -1742   -20247    -3342     -381   -18481   796129   796208   795825   795263   795608   795267   724681   724681   801573   796735       12     -213     -134     -493     -236     -124      -52      -52     4756     -127   638972096.44400       34       15        1    15610    24781        0
  638972109.34600 00478    -5456    -1750   -20276    -3352     -432   -18534   796139   796215   795824   795274   795609   795270   724683   724683   801599   796733       20     -210     -124     -496     -242     -118      -46      -46     4747     -109   638972110.44400       34       15        1    15643    25089        0
  638972123.98700 00478    -5463    -1704   -20284    -3328     -404   -18545   796130   796219   795819   795275   795608   795272   724691   724691   801532   796739       19     -225     -120     -490     -248     -122      -40      -40     4722     -114   638972124.44400       34       15        1    15577    25218        0
  638972138.62900 00478    -5434    -1731   -20303    -3329     -403   -18589   796120   796232   795836   795257   795602   795279   724695   724695   801616   796745       12     -216     -127     -503     -255     -117      -52      -52     4747     -117   638972138.44400       34       15        1    15594    25208        0
  638972153.27100 00478    -5461    -1744   -20366    -3348     -423   -18616   796128   796219   795821   795255   795607   795270   724679   724679   801582   796732       26     -224     -139     -485     -244     -122      -58      -58     4746     -117   638972152.44400       34       15        1    15582    24957        0
  638972167.91200 00478    -5461    -1737   -20417    -3345     -488   -18684   796122   796232   795823   795232   795591   795264   724700   724700   801555   796731       18     -221     -128     -488     -250     -125      -57      -57     4742     -109   638972166.44400       34       15        1    15544    24946        0
  638972182.55400 00478    -5492    -1749   -20398    -3373     -421   -18705   796104   796218   795817   795241   795588   795275   724692   724692   801569   796724       26     -217     -134     -493     -245     -120      -41      -41     4717     -122   638972180.44400       34       15        1    15589    24860        0
  638972197.19600 00478    -5471    -1731   -20436    -3336     -401   -18704   796112   796200   795807   795267   795597   795268   724697   724697   801569   796737       27     -226     -142     -495     -237     -113      -42      -42     4729     -119   638972194.45200       34       15        1    15653    24850        0
  638972211.83700 00478    -5501    -1773   -20475    -3381     -453   -18747   796110   796208   795815   795241   795576   795266   724688   724688   801600   796727        7     -203     -131     -493     -254     -133      -52      -52     4740     -114   638972208.44400       34       15        1    15711    25397        0
