  623611776.59300 00305    -4030    -1748   -15784    -2304      459   -18724   796024   796140   795780   795180   795326   795176   724686   724686   801771   796712       21     -250     -165     -523     -274     -151      -61      -61     4960     -124   623611778.49300       34       14        1    17607    27160        0
  623611791.23500 00305    -4063    -1752   -15878    -2296      493   -18709   796024   796144   795780   795186   795316   795172   724691   724691   801799   796715       27     -244     -167     -531     -290     -157      -75      -75     4923     -121   623611784.59600       34       14        1    17657    27377        0
  623611805.87700 00305    -4055    -1733   -15884    -2281      545   -18696   796018   796140   795783   795164   795317   795181   724684   724684   801787   796715       23     -253     -166     -530     -277     -157      -63      -63     4970     -114   623611812.59600       34       14        1    17781    27631        0
  623611820.51800 00305    -4049    -1679   -15825    -2227      570   -18636   796015   796143   795790   795183   795319   795191   724697   724697   801791   796733       26     -245     -168     -526     -280     -160      -57      -57     4940     -112   623611826.59600       34       14        1    17802    28074        0
  623611835.16000 00305    -4032    -1693   -15860    -2238      595   -18676   796022   796144   795793   795184   795330   795202   724679   724679   801785   796727       22     -249     -167     -541     -269     -159      -59      -59     4917     -119   623611840.59600       34       14        1    17785    27679        0
  623611849.80200 00305    -4025    -1685   -15884    -2213      603   -18649   796011   796144   795789   795183   795329   795207   724692   724692   801792   796721       26     -246     -174     -541     -281     -160      -57      -57     4940     -125   623611854.59600       34       14        1    17829    27990        0
  623611864.44300 00305    -4016    -1688   -15913    -2223      552   -18719   796014   796148   795786   795173   795338   795199   724687   724687   801809   796721       28     -245     -165     -538     -287     -152      -64      -64     4929     -120   623611868.59600       34       14        1    17843    27964        0
  623611879.08500 00305    -3959    -1740   -15914    -2227      609   -18780   796016   796144   795789   795166   795319   795185   724685   724685   801818   796719       33     -260     -167     -542     -273     -157      -65      -65     4925     -106   623611882.59600       34       14        1    17998    28000        0
  623611893.72700 00305    -4014    -1741   -16009    -2238      582   -18804   795996   796123   795784   795151   795308   795185   724688   724688   801738   796718       35     -262     -168     -547     -277     -157      -69      -69     4876     -117   623611896.59600       34       14        1    18011    28192        0
  623611908.36800 00305    -4059    -1700   -16053    -2237      599   -18855   796000   796132   795776   795164   795307   795185   724697   724697   801776   796721       25     -256     -166     -541     -283     -158      -60      -60     4925     -117   623611910.59600       34       14        1    18060    28142        0
