  607350696.38900 00122    -2806     -863   -15795     -464     2654   -17407   795784   796195   795706   794765   794780   794937   724725   724725   801619   796798       48     -338     -215     -929     -241     -226       -9       -9     4737      -80   607350699.00200       34        9        1    22229    29668        0
  607350711.03000 00122    -2778     -871   -15717     -499     2669   -17366   795783   796194   795711   794764   794781   794936   724737   724737   801566   796795       41     -330     -219     -933     -242     -229       -9       -9     4754      -77   607350713.00200       34        9        1    22155    29892        0
  607350725.67200 00122    -2798     -879   -15703     -505     2679   -17334   795792   796200   795715   794782   794781   794956   724723   724723   801628   796801       42     -338     -222     -920     -249     -235      -10      -10     4767      -76   607350727.00200       34        9        1    22149    29657        0
  607350740.31400 00122    -2758     -853   -15619     -489     2690   -17250   795798   796193   795724   794782   794803   794954   724735   724735   801696   796810       39     -343     -213     -931     -243     -223      -14      -14     4782      -81   607350741.00200       34        9        1    22116    29286        0
  607350754.95500 00122    -2760     -863   -15667     -479     2663   -17278   795799   796194   795722   794766   794810   794962   724735   724735   801622   796795       53     -331     -216     -925     -237     -239        2        2     4753      -90   607350755.00200       34        9        1    22060    29281        0
  607350769.59700 00122    -2824     -884   -15791     -490     2542   -17323   795781   796193   795700   794757   794802   794945   724724   724724   801570   796780       39     -332     -205     -921     -240     -230       -6       -6     4759      -84   607350769.00200       34        9        1    22073    29819        0
  607350784.23900 00122    -2792     -891   -15644     -510     2596   -17256   795779   796179   795707   794757   794795   794951   724733   724733   801617   796791       46     -344     -214     -924     -248     -233        4        4     4746      -83   607350783.01000       34        9        1    22054    29271        0
  607350798.88000 00122    -2771     -888   -15559     -493     2644   -17154   795781   796188   795707   794778   794802   794958   724730   724730   801613   796791       46     -335     -209     -916     -241     -239       -6       -6     4747      -87   607350797.00200       34        9        1    22065    29560        0
  607350813.52200 00122    -2756     -895   -15606     -504     2632   -17203   795795   796185   795711   794773   794817   794961   724725   724725   801622   796795       47     -336     -209     -929     -242     -241        5        5     4734      -78   607350811.00200       34        9        1    22008    30556        0
  607350828.16400 00122    -2785     -891   -15666     -522     2541   -17268   795787   796182   795713   794761   794820   794956   724731   724731   801584   796785       46     -342     -214     -916     -243     -237        2        2     4730      -89   607350825.00200       34        9        1    21978    30065        0
