  631108867.16600 00390    -1869    -2016   -12793    -1363      849   -15790   625622   625935   625745   624723   624444   625035   724568   724568   631983   626350       30     -417     -193    -1095     -436     -225       28       28     5367     -278   631108869.79800       34        1        1    18505    25523        0
  631108881.80800 00390    -1901    -2028   -12828    -1362      830   -15795   625624   625935   625733   624728   624442   625032   724565   724565   631968   626355       27     -411     -192    -1092     -441     -219       25       25     5356     -270   631108883.79800       34        1        1    18518    25333        0
  631108896.44900 00390    -1906    -1977   -12812    -1330      831   -15760   625632   625943   625744   624736   624444   625036   724565   724565   631971   626357       34     -411     -188    -1086     -432     -219       25       25     5346     -266   631108897.79800       34        1        1    18549    25780        0
  631108911.09100 00390    -1923    -1986   -12851    -1326      790   -15771   625629   625923   625742   624729   624436   625045   724568   724568   631976   626353       28     -414     -195    -1095     -439     -223       30       30     5351     -272   631108911.79800       34        1        1    18512    25588        0
  631108925.73300 00390    -1898    -1993   -12843    -1351      802   -15784   625620   625925   625739   624719   624437   625039   724563   724563   631964   626343       28     -421     -192    -1096     -437     -224       31       31     5341     -264   631108925.79800       34        1        1    18518    25575        0
  631108940.37500 00390    -1921    -1969   -12846    -1329      821   -15773   625622   625927   625736   624724   624441   625036   724561   724561   631947   626349       33     -412     -181    -1101     -434     -223       26       26     5328     -266   631108939.79800       34        1        1    18555    25718        0
  631108955.01600 00390    -1909    -1986   -12854    -1343      799   -15778   625625   625927   625736   624728   624436   625037   724558   724558   631990   626351       30     -411     -194    -1085     -436     -224       23       23     5353     -275   631108953.79800       34        1        1    18547    25516        0
  631108969.65800 00390    -1892    -1971   -12824    -1333      839   -15765   625626   625934   625737   624724   624448   625039   724563   724563   631943   626351       27     -411     -187    -1095     -434     -224       33       33     5363     -268   631108967.79800       34        1        1    18558    25492        0
  631108984.29900 00390    -1901    -1974   -12842    -1340      811   -15780   625624   625927   625739   624723   624436   625034   724563   724563   631978   626354       38     -411     -191    -1092     -438     -225       30       30     5331     -266   631108981.79800       34        1        1    18549    25831        0
  631108998.94100 00390    -1906    -1985   -12845    -1354      835   -15799   625622   625927   625740   624718   624438   625027   724562   724562   631937   626350       27     -417     -201    -1091     -439     -225       26       26     5370     -268   631108995.79800       34        1        1    18515    25605        0
